,location,domain_profile,company_name,about_the_work_from_home_job/internship,skill(s)_required,who_can_apply,perks,number_of_openings,company_details,start_date,duration,stipend,apply_by,applicants,other_requirements,about_the_internship,additional_information,is_part_time,about_part_time_job/internship
10,Work From Home,Android App Development,Possibillion Software Technologies Private Limited,"Selected intern's day-to-day responsibilities include:

1. Developing mobile apps using Android Studio
2. Working independently on writing quality code that is simple, reliable, and scalable
3. Contributing to the design of Android apps
4. Maintaining and documenting technical content
5. Implementing web services in mobile applications",Android,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 5 days a week",1,"Website;We are a company formed by love and driven by passion and childlike enthusiasm. Possibillion Software Technologies Private Limited is a seven-year-old company based out of Hyderabad, India. Here, we believe in making technology accessible and easy for everyone to use. We constantly challenge the possibilities of what software and hardware can achieve together. With our brand Idli Machine, we want to kickstart the first-of-its-kind vending machine for Indian food. We understand that the challenges in automating Indian food are enormous, the quality, taste, hygiene, and not to forget the difficulty in preparing yummy and delicious food and making quality food available to a billion people.

Making quality food reach the next billion people possible is amongst the core philosophies of Possibillion Software Technologies Private Limited.",Starts immediatelyImmediately,6 Months,10000-12000 /month,7 Jul' 21,125 applicants,,,,0,
11,Work From Home,Backend Development (Node.js),Influence,"Selected intern's day-to-day responsibilities include: 

1. Working on the backend API 
2. Developing backend for the new features","MongoDB
Node.js","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",2,"Website;Influence is an online social proof platform that helps businesses in increasing more sales, leads, and conversions. We are operating out of Delhi and are building this into a global brand. Currently, the company is owned by Raman and Kirti.",Starts immediatelyImmediately,6 Months,7000-14000 /month,3 Jul' 21,137 applicants,,,,1,
12,Work From Home,Game Development,Believable,"Selected intern's day-to-day responsibilities include:

1. Translating requirements into complicated yet clean and efficient codes
2. Producing prototypes of gameplay ideas and features
3. Adding animated characters and objects
4. Enhancing the games, maintaining codes, and fixing bugs","PHP
MySQL
Unity 3D
Unity Engine","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",20,"We help entrepreneurs transform their ideas into successful businesses by developing websites, mobile applications, and software solutions for them.",Starts immediatelyImmediately,6 Months,3000-8000 /month,8 Jul' 21,32 applicants,,,,0,
13,Work From Home,Mobile App Development,Humans For Humanity,"Selected intern's day-to-day responsibilities include:

1. Collecting information about the NGO
2. Creating an application which supports the NGO's projects",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",20,"Instagram page;Humans for Humanity is a team of concerned citizens who have come together to shelter the unsheltered, educate the unprivileged, medicate the diseased, and humanize the inhumane. It is a non-governmental organization set up by Mr. Anurag Chauhan. The organization is a host to interns from 20+ foreign nations, including Afghanistan, Brazil, Canada, Egypt, Malaysia, Nepal, Spain, the UK, and the USA. We are in the continuous process of generating awareness about community issues and empowering the youth of India.

Project WASH undertakes education and provision of sanitary napkins to underprivileged females in India. Project Street Smart involves vocational training for women and children of age 14+. Project Clean India was undertaken to conduct clean-up drives, waste collection drives, and composting drives. Other activities include the promotion of Indian culture and heritage, tree plantations, winter wear distribution, food distribution, and orphanage visits.",Starts immediatelyImmediately,2 Months,Unpaid,12 Jul' 21,42 applicants,,,,0,
14,Mumbai,Digital Technologies,SLN Brothers Private Limited,,"Unity 3D
3ds Max
Autodesk Maya
Unreal Engine
Unity Engine","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",4,"Our company is working towards the creation of games that make a social impact, considering the Indian market. We, at SLN Brothers, focus majorly to develop games that can address real-life challenges and drive social change.",Starts immediatelyImmediately,6 Months,8000 /month +  Incentives,8 Jul' 21,Be an early applicant,1. Strong programming base and creative sensibility,"Selected intern's day-to-day responsibilities include:

1. Understanding the Unreal Engine and Unity3D software
2. Working with the combination of technology, design, and strategy for our projects","Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 1000 per assignment).",0,
15,Work From Home,iOS App Development,Ikshan Solutions Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Developing & implementing highly responsive Swift based mobile applications
2. Converting wireframe to full fledged applications comprising of the user interface, networking, database, and other tasks
3. Debugging, testing, and optimization of the applications
4. Working on code optimization to improve app performance","Xcode
Swift
REST API
iOS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 26th Jun'21 and 31st Jul'21
3. are available for duration of 6 weeks
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",Certificate,1,"Ikshan , a spatial intelligence company, aims to create more connected and informed world by harnessing the power of location and by giving people and machines an ability to share , automatically perceive and utilize information.",Starts immediatelyImmediately,6 Weeks,5000-10000 /month,10 Jul' 21,Be an early applicant,,,,0,
16,Work From Home,Web Development,Diatoz Solutions,"Selected intern's day-to-day responsibilities include: 

1. Developing pages using Angular/Vue.js
2. Developing API using Node
3. Developing unit test cases with cypress or jest
4. Working on documenting","MySQL
JavaScript
jQuery
MongoDB
Node.js
Vue Js
Angular 7.0
MEAN/MERN Stack","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",5,"Website;DIATOZ stands for Digital India A to Z Solutions. It is a startup with a vision to meet the future today! We brainstorm, research, discover, and implement novel concepts to the current technologies to meet future technologies within no time. We have a mission to bestow comprehensive solutions to the mainstream and future technologies in terms of omnichannel products, solutions, and services. We have unique in-house products in development, we provide solutions and services and we provide cloud, enterprise, and mobility solutions.",Starts immediatelyImmediately,3 Months,15000 /month,2 Jul' 21,60 applicants,,,,0,
17,Work From Home,Web Development,Bosscoder Academy,"Selected intern's day-to-day responsibilities include:

1. Building a landing page website
2. Working on CMS like Webflow to add dynamic content to the website
3. Building a blog using Webflow","CSS
CMS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",1,Bosscoder Academy is an ed-tech startup that helps tech engineers master problem solving and system design and grab their dream tech offer.,Starts immediatelyImmediately,1 Month,7000 /month,14 Jul' 21,156 applicants,,,,0,
18,Work From Home,Flutter Development,Global Free School,"Selected intern's day-to-day responsibilities include:

1. Working on Flutter UI along with the integration of APIs for both Android and iOS
2. Working with GetX architecture and building UI
3. Working with APIs","Flutter
REST API
Dart","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation",1,"Website;We are a team of IIT graduates working on digitizing ed-tech in India. With the internet penetrating every city, free school education can be delivered with the help of the internet. We are one of the fastest-growing ed-tech companies aiming to reduce the financial burden on parents and making education accessible to everyone. The founders themselves come from very humble backgrounds, and being students of IIT, they provide a world-class education to everyone in a simplified way.",Starts immediatelyImmediately,6 Months,8000 /month,3 Jul' 21,45 applicants,,,,0,
19,Work From Home,Web Development,SwipeTouch Technologies LLP,"Selected intern's day to day responsibilities include:

1. Attend the daily standup call and take the responsibilities of the module assigned to them
2. Work on the development of new features or enhancements of our existing product
3. Work on PHP, JQuery, JavaScript, My SQL, and AJAX","JavaScript
jQuery
Adobe Photoshop
UI & UX Design
PHP
MySQL","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",1,"SwipeTouch was founded by three highly experienced professionals with a motto of making school ERP a more friendly and highly-utilized product. Keeping that motto in mind, SwiftCampus is born. SwipeTouch has helped a lot of schools to run their operation successfully during the pandemic. We are thriving as we have made school ERP a more user-friendly, highly-utilizable, and affordable product with an intelligent solution.",Starts immediatelyImmediately,3 Months,3000-4000 /month,7 Jul' 21,45 applicants,"1. Should have good analytical skills and bend towards programming
2. Should have a solid foundation of data structure and algorithms
3. Extra point if have some internship experience",,,0,
20,Pune,PHP Development,Mplussoft India Private Limited,,"Java
PHP
HTML
CSS
JavaScript
CodeIgniter
Node.js
LARAVEL
GitHub
Vue Js","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 3 months
4.  are from Pune and neighboring cities
5. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code
 5 days a week
 Free snacks & beverages
 Job offer",10,"Website;Mplussoft India Private Limited is a customer-oriented company offering eCommerce applications, open-source ERPs, web development, mobile applications, and off-shore outsourcing services in various technologies. For the welfare of its clients, Mplussoft India Private Limited also steps up for providing web hosting, online marketing, organic SEO, and related services along with advertising on Google, Facebook, and LinkedIn, and various other social media sites.",Starts immediatelyImmediately,3 Months,6000 /month,8 Jul' 21,27 applicants,"1. Certifications or training mandatory in PHP
2. Must have strong concepts in OOP and design patterns (e.g. MVC)
3. Must have familiarity with SQL/NoSQL databases and their declarative query languages
4. Must have excellent collaboration and communication skills","Selected intern's day-to-day responsibilities include:

1. Programming using open source technologies, including PHP, Node.js, jQuery, HTML, CSS, and open source CMS
2. Working using version control systems such as Git and Bitbucket
3. Working on third-party libraries and APIs like Facebook, Twitter, Google, payment gateways, etc.
4. Writing PHP code from scratch
5. Communicating with project managers, QA team, clients, and other stakeholders at all technical and management levels","Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 1 to 2 Lac/annum
We are looking for a PHP CodeIgniter/Laravel developer.",0,
21,Work From Home,Web Development,Ethnic-ian,"Selected intern's day-to-day responsibilities include: 

1. Working closely with our web development team
2. Working on woo-commerce to develop the complete website","PHP
HTML","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 5 days a week",1,Instagram page;Ethnic-ian is a clothing brand based out of Bangalore. We deal in women's ethnic wear and fusion wear as well.,Starts immediatelyImmediately,2 Months,2000 /month,12 Jul' 21,119 applicants,1. Should have knowledge of coding,,,1,
22,Work From Home,Web Development,OSI Systems Private Limited,"***  NOTE: THOSE WHO HAVE NOT YET COMPLETED THEIR DEGREE ARE NOT ELIGIBLE TO APPLY ***

Selected intern's day-to-day responsibilities include one or more of the following: 

1. Understand the product functionalities and code in-depth and develop automated unit testing using the JUnit framework
2. Make minor extensions/changes to production software code
3. Develop useful tools to ease up the team's product development effort
4. Study promising new technologies, perform proof-of-concept and make study results available to the project team
6. Work using software configuration management tools, defect tracking tools, static code analysis tools and debugging tools
7. Cover positive, negative, and edge conditions for the developed test cases","Java
J2EE
Spring MVC","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 5 days a week",2,"Website;We are creating solutions for a safer and healthier world. OSI Systems Inc. is a diversified global developer, manufacturer, and seller of security and inspection products, medical devices, and optoelectronic-based components, as well as a provider of engineering and manufacturing services. The company has more than 30 years of experience in electronics engineering and manufacturing and employs over 3,000 people through offices and production facilities located in more than a dozen countries. Our singular focus is to help security experts, clinical professionals, and high-tech developers solve real-world problems and issues.",Starts immediatelyImmediately,6 Months,20000 /month,7 Jul' 21,78 applicants,,,,0,
23,Noida,Embedded Programming,Datchik Electronics Private Limited,,"ARM Microcontroller
Embedded Systems
Arduino
C Programming
Internet of Things (IoT)
Google Cloud Computing","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week
 Job offer",4,"We are pleased to introduce our company Datchik Electronics as a team of embedded engineering professionals who are involved in the production and development of embedded and IoT-based electronics devices and services. We are always starving for new innovation and research of new product development and provide easy solution and service to our customer, with our product and expert service to overcome unwanted effort and increase productivity and safety of human being.",Starts immediatelyImmediately,6 Months,5000 /month,20 Jul' 21,61 applicants,,"Selected intern's day-to-day responsibilities include: 

1. Programming for interfacing between STM32 /Sim800L module with Nodemcu, 
  Raspberry Pi, and  peripheral sensor
2. Communicating and sending data on the internet (cloud-based, IoT, MQTT, server)
3.Hands-on experience in the assembly and disassembly of PCB and bring-up on a breadboard.",,0,
24,Work From Home,WordPress Design/Development,Mentorsity Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Build and integrate features using WordPress plugins
2. Manage and update the website regularly
3. Implement and change the existing and new features
4. Build good looking pages and implement the functionality","PHP
HTML
CSS
WordPress
Bootstrap","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 27th Jun'21 and 1st Aug'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",2,"Mentorsity is a dream of an opportunistic world and nurturing ecosystem for learners using technology and human efforts to contribute to teaching excellence and enhancing learner's success by giving them a community of similar interests and ideology, where they will be free to choose their learning path without the burden of societal trends. We, at Mentorsity, are on a bold mission of nurturing an ecosystem for personalized learning under the guidance of experienced mentors for achieving success at the end of your chosen learning path. We are acting as a bridge between young enthusiastic learners and their aspirated professional growth, and help them to achieve in the guidance of like-minded facilitators and excel their interests through the gamified and visually attractive user interface.",Starts immediatelyImmediately,3 Months,2000 /month,11 Jul' 21,61 applicants,,,,0,
25,Work From Home,Game Development,EnR Consultancy Services,"Selected intern's day-to-day responsibilities include:

1. Able to work on 3D Point Cloud, 3D Dynamics
2. Releasing games to the iOS app store and Android Play Store
3. Making UI for mobile games
4. Working on 2D/3D art
5. Developing online multiplayer mobile games 
6. Developing within the deadline
7. Working on bugs free development/clean coding","Unity 3D
Unreal Engine
Unity Engine","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",5,Website;EnR Consultancy Services enables you to transform your organization and improve performance. We aim to empower your business to respond more quickly and intuitively to changing market dynamics by enabling change and allowing you to realize potential.,Starts immediatelyImmediately,6 Months,1000-6000 /month,2 Jul' 21,43 applicants,,,,1,
26,Work From Home,Node.js Development,Bridcodes India Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Work as part of a team developing applications and services using Agile development methods
2. Contribute to team and organizational improvements in process and infrastructure
3. Build customer-facing UI and back-end services for payment processing administration and management
4. Code, test and operate node.js based services
5. Effectively use tools and ingenuity to identify and fix defects before they become a problem
6. Prepare and maintain all applications utilizing standard development tools
7. Utilize backend data services and contribute to increasing existing data services API
8. Lead the entire web application development life cycle right from concept stage to delivery and post-launch support
9. Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
10. Document the development process, architecture, and standard components
11. Keep abreast of new trends and best practices in web development","Java
JavaScript
MongoDB
AngularJS
Node.js
Angular 2.0
Vue Js
Firebase
Firebase Cloud Messaging
Angular 7.0
MEAN/MERN Stack","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 26th Jun'21 and 31st Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",1,"Bridcodes India Private Limited is a professional firm, providing software solutions, web solutions, and design solutions for small, medium, and large-scale industries. We are pioneers in rendering dynamic, smart, and professional web-based solutions from small to large enterprises, along with other web designing companies. We also provide solutions that empower SME, large corporate companies, or other web solution providers with a competitive edge by enabling them to focus on their core activities. For outsourcing web design companies, we provide complete white-labeled solutions and accomplish the programming and development tasks transparently that would otherwise consume invaluable time.",Starts immediatelyImmediately,3 Months,4000-8000 /month,31 Jul' 21,53 applicants,,,,0,
27,Work From Home,Mobile App Development,Postvila,"Selected intern's day-to-day responsibilities include:

1. Developing the app as per the given task
2. Working on Firebase to update the app
3. Providing daily reports on the app development work","Java
CSS
JavaScript
Microsoft Visual Studio
Android
Firebase
Firebase Cloud Messaging
Cloud Firestore","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",10,"Instagram page;Postvila is a made-in-India social media platform. A new startup in the IT sector, we are working on the vision to provide services to all over the world, from the creative and innovative mindset through our platform. Our platform works on Android, iOS, and web apps. Work with us to get a better life with creative ideas of your own and better perks. Let the world hear the work of Indians.",Starts immediatelyImmediately,2 Months,2000 /month +  Incentives,14 Jul' 21,Be an early applicant,,,"Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 1000 per depending on performance).",0,
